4421258912,Wipro,AI ENGINEER L1,Hyderabad,https://in.linkedin.com/jobs/view/ai-engineer-l1-at-wipro-4421258912?position=1&pageNum=0&refId=ZaK00qFZktiY5zLOCZAiSg%3D%3D&trackingId=WPv7h0sHvHF%2BKKlV6tTMNQ%3D%3D,2026-06-05,CV_Tailored_Wipro_4421258912.pdf,Approved,Submitted,Application processed and accepted via local loop.
4384065626,Accenture in India,AI / ML Engineer,Hyderabad,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-accenture-in-india-4384065626?position=2&pageNum=0&refId=ZaK00qFZktiY5zLOCZAiSg%3D%3D&trackingId=LgdOyQG%2BCjzqOI4cP6O8Sg%3D%3D,2026-06-05,CV_Tailored_AccentureinIndia_4384065626.pdf,Approved,Submitted,Application processed and accepted via local loop.
4423877258,Prorsum Technologies,Machine Learning Engineer,Hyderabad,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-prorsum-technologies-4423877258?position=3&pageNum=0&refId=ZaK00qFZktiY5zLOCZAiSg%3D%3D&trackingId=9g%2F%2F565KO2ORcQ%2BhpDXckw%3D%3D,2026-06-05,CV_Tailored_ProrsumTechnologies_4423877258.pdf,Approved,Submitted,Application processed and accepted via local loop.
4423576855,Optum India,AI/ML Engineer,Hyderabad,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-optum-india-4423576855?position=4&pageNum=0&refId=ZaK00qFZktiY5zLOCZAiSg%3D%3D&trackingId=o%2FuwjlGflas8sGoCdXKeAQ%3D%3D,2026-06-05,CV_Tailored_OptumIndia_4423576855.pdf,Approved,Submitted,Application processed and accepted via local loop.
4424219147,Qualcomm,"Engineer Machine learning, python Dev Testing",Hyderabad,https://in.linkedin.com/jobs/view/engineer-machine-learning-python-dev-testing-at-qualcomm-4424219147?position=5&pageNum=0&refId=ZaK00qFZktiY5zLOCZAiSg%3D%3D&trackingId=oxA5DWiA64LApRrrc7uQMA%3D%3D,2026-06-05,CV_Tailored_Qualcomm_4424219147.pdf,Rejected,Not Started,User rejected application layout.
4419683890,"Maganti IT Resources, LLC",Machine Learning Engineer,Hyderabad,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-maganti-it-resources-llc-4419683890?position=6&pageNum=0&refId=ZaK00qFZktiY5zLOCZAiSg%3D%3D&trackingId=yAlB5MzrjIy8xjm%2FMJ3pdw%3D%3D,2026-06-05,CV_Tailored_MagantiITResourcesLLC_4419683890.pdf,Approved,Submitted,Application processed and accepted via local loop.
4400815675,The Hartford India,IND-Software Engineer,Hyderabad,https://in.linkedin.com/jobs/view/ind-software-engineer-at-the-hartford-india-4400815675?position=7&pageNum=0&refId=ZaK00qFZktiY5zLOCZAiSg%3D%3D&trackingId=QLSI6bQZ4HPMahXJYxkzYw%3D%3D,2026-06-05,CV_Tailored_TheHartfordIndia_4400815675.pdf,Approved,Submitted,Application processed and accepted via local loop.
4422434553,Tata Consultancy Services,Machine Learning Engineer,Hyderabad,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-tata-consultancy-services-4422434553?position=8&pageNum=0&refId=ZaK00qFZktiY5zLOCZAiSg%3D%3D&trackingId=ohekOm9suxrkYmb8zGd1dw%3D%3D,2026-06-05,CV_Tailored_TataConsultancyServices_4422434553.pdf,Approved,Submitted,Application processed and accepted via local loop.
4422447288,Warner Bros. Discovery,Principal Data Scientist,Hyderabad,https://in.linkedin.com/jobs/view/principal-data-scientist-at-warner-bros-discovery-4422447288?position=9&pageNum=0&refId=ZaK00qFZktiY5zLOCZAiSg%3D%3D&trackingId=Xp2nDgMhrzkU15eTFBFPGA%3D%3D,2026-06-05,CV_Tailored_WarnerBrosDiscovery_4422447288.pdf,Approved,Submitted,Application processed and accepted via local loop.
4404076883,Cisco,Staff Machine Learning Engineer,Hyderabad,https://in.linkedin.com/jobs/view/staff-machine-learning-engineer-at-cisco-4404076883?position=10&pageNum=0&refId=ZaK00qFZktiY5zLOCZAiSg%3D%3D&trackingId=17pPZtWxPe9RKH0q5%2F2HNw%3D%3D,2026-06-05,CV_Tailored_Cisco_4404076883.pdf,Approved,Submitted,Application processed and accepted via local loop.
4421258912,Wipro,AI ENGINEER L1,Hyderabad,https://in.linkedin.com/jobs/view/ai-engineer-l1-at-wipro-4421258912?position=1&pageNum=0&refId=rsLkzpCADPm2jE05LGEKKQ%3D%3D&trackingId=WPv7h0sHvHF%2BKKlV6tTMNQ%3D%3D,2026-06-05,Resume_Tailored_Wipro_4421258912.pdf,CoverLetter_Wipro_4421258912.pdf,Approved,Submitted,Applied successfully.
4384065626,Accenture in India,AI / ML Engineer,Hyderabad,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-accenture-in-india-4384065626?position=2&pageNum=0&refId=rsLkzpCADPm2jE05LGEKKQ%3D%3D&trackingId=LgdOyQG%2BCjzqOI4cP6O8Sg%3D%3D,2026-06-05,Resume_Tailored_AccentureinIndia_4384065626.pdf,CoverLetter_AccentureinIndia_4384065626.pdf,Approved,Submitted,Applied successfully.
4423877258,Prorsum Technologies,Machine Learning Engineer,Hyderabad,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-prorsum-technologies-4423877258?position=3&pageNum=0&refId=rsLkzpCADPm2jE05LGEKKQ%3D%3D&trackingId=9g%2F%2F565KO2ORcQ%2BhpDXckw%3D%3D,2026-06-05,Resume_Tailored_ProrsumTechnologies_4423877258.pdf,CoverLetter_ProrsumTechnologies_4423877258.pdf,Approved,Submitted,Applied successfully.
4423576855,Optum India,AI/ML Engineer,Hyderabad,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-optum-india-4423576855?position=4&pageNum=0&refId=rsLkzpCADPm2jE05LGEKKQ%3D%3D&trackingId=o%2FuwjlGflas8sGoCdXKeAQ%3D%3D,2026-06-05,Resume_Tailored_OptumIndia_4423576855.pdf,CoverLetter_OptumIndia_4423576855.pdf,Approved,Submitted,Applied successfully.
4419683890,"Maganti IT Resources, LLC",Machine Learning Engineer,Hyderabad,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-maganti-it-resources-llc-4419683890?position=6&pageNum=0&refId=rsLkzpCADPm2jE05LGEKKQ%3D%3D&trackingId=yAlB5MzrjIy8xjm%2FMJ3pdw%3D%3D,2026-06-05,Resume_Tailored_MagantiITResourcesLLC_4419683890.pdf,CoverLetter_MagantiITResourcesLLC_4419683890.pdf,Approved,Submitted,Applied successfully.
4400815675,The Hartford India,IND-Software Engineer,Hyderabad,https://in.linkedin.com/jobs/view/ind-software-engineer-at-the-hartford-india-4400815675?position=7&pageNum=0&refId=rsLkzpCADPm2jE05LGEKKQ%3D%3D&trackingId=QLSI6bQZ4HPMahXJYxkzYw%3D%3D,2026-06-05,Resume_Tailored_TheHartfordIndia_4400815675.pdf,CoverLetter_TheHartfordIndia_4400815675.pdf,Approved,Submitted,Applied successfully.
4422434553,Tata Consultancy Services,Machine Learning Engineer,Hyderabad,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-tata-consultancy-services-4422434553?position=8&pageNum=0&refId=rsLkzpCADPm2jE05LGEKKQ%3D%3D&trackingId=ohekOm9suxrkYmb8zGd1dw%3D%3D,2026-06-05,Resume_Tailored_TataConsultancyServices_4422434553.pdf,CoverLetter_TataConsultancyServices_4422434553.pdf,Approved,Submitted,Applied successfully.
4404076883,Cisco,Staff Machine Learning Engineer,Hyderabad,https://in.linkedin.com/jobs/view/staff-machine-learning-engineer-at-cisco-4404076883?position=10&pageNum=0&refId=rsLkzpCADPm2jE05LGEKKQ%3D%3D&trackingId=17pPZtWxPe9RKH0q5%2F2HNw%3D%3D,2026-06-05,Resume_Tailored_Cisco_4404076883.pdf,CoverLetter_Cisco_4404076883.pdf,Approved,Submitted,Applied successfully.
4422034291,Google,"Data Analyst, Risk",Hyderabad,https://in.linkedin.com/jobs/view/data-analyst-risk-at-google-4422034291?position=2&pageNum=0&refId=CYeb8sOWxVVpN%2FAeo%2BIqVg%3D%3D&trackingId=qtC9fxFE%2Fxm3I0QBXEzg9Q%3D%3D,2026-06-05,Resume_Tailored_Google_4422034291.pdf,CoverLetter_Google_4422034291.pdf,Approved,Submitted,Applied successfully.
4413984082,Microsoft,Data & AI - Consultant,Hyderabad,https://in.linkedin.com/jobs/view/data-ai-consultant-at-microsoft-4413984082?position=3&pageNum=0&refId=CYeb8sOWxVVpN%2FAeo%2BIqVg%3D%3D&trackingId=d1ZLlYTu9zy%2B5ChKqKPbWw%3D%3D,2026-06-05,Resume_Tailored_Microsoft_4413984082.pdf,CoverLetter_Microsoft_4413984082.pdf,Approved,Submitted,Applied successfully.
4421092297,Infosys,Python Developer,Hyderabad,https://in.linkedin.com/jobs/view/python-developer-at-infosys-4421092297?position=4&pageNum=0&refId=CYeb8sOWxVVpN%2FAeo%2BIqVg%3D%3D&trackingId=1vquIEuWy6OtR%2BgFnh6DRQ%3D%3D,2026-06-05,Resume_Tailored_Infosys_4421092297.pdf,CoverLetter_Infosys_4421092297.pdf,Approved,Submitted,Applied successfully.
4422911095,Xebia,Data Scientist,Hyderabad,https://in.linkedin.com/jobs/view/data-scientist-at-xebia-4422911095?position=5&pageNum=0&refId=CYeb8sOWxVVpN%2FAeo%2BIqVg%3D%3D&trackingId=69VFFk47ZyJQo%2FB%2FeJ20lg%3D%3D,2026-06-05,Resume_Tailored_Xebia_4422911095.pdf,CoverLetter_Xebia_4422911095.pdf,Approved,Submitted,Applied successfully.
4421666165,Tezo,Data Scientist,Hyderabad,https://in.linkedin.com/jobs/view/data-scientist-at-tezo-4421666165?position=6&pageNum=0&refId=CYeb8sOWxVVpN%2FAeo%2BIqVg%3D%3D&trackingId=NX2%2B%2F5j1dFunhfub7l1Aug%3D%3D,2026-06-05,Resume_Tailored_Tezo_4421666165.pdf,CoverLetter_Tezo_4421666165.pdf,Approved,Submitted,Applied successfully.
4424296233,talenser,AI/ML engineer,Hyderabad,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-talenser-4424296233?position=7&pageNum=0&refId=CYeb8sOWxVVpN%2FAeo%2BIqVg%3D%3D&trackingId=PLfYwtvIGDkRbG7YK9TqKA%3D%3D,2026-06-05,Resume_Tailored_talenser_4424296233.pdf,CoverLetter_talenser_4424296233.pdf,Approved,Submitted,Applied successfully.
4424465328,Infosys,Python Developer,Hyderabad,https://in.linkedin.com/jobs/view/python-developer-at-infosys-4424465328?position=8&pageNum=0&refId=CYeb8sOWxVVpN%2FAeo%2BIqVg%3D%3D&trackingId=%2Br6Q45VJsQQNpwpwjORdLQ%3D%3D,2026-06-05,Resume_Tailored_Infosys_4424465328.pdf,CoverLetter_Infosys_4424465328.pdf,Approved,Submitted,Applied successfully.
4421092303,Infosys,"Python,Pyspark Developer",Hyderabad,https://in.linkedin.com/jobs/view/python-pyspark-developer-at-infosys-4421092303?position=9&pageNum=0&refId=CYeb8sOWxVVpN%2FAeo%2BIqVg%3D%3D&trackingId=YPjeuR%2Bfuss7lrm5V3YsMA%3D%3D,2026-06-05,Resume_Tailored_Infosys_4421092303.pdf,CoverLetter_Infosys_4421092303.pdf,Approved,Submitted,Applied successfully.
